User,Folder Name,Permissions
SYSTEM,AIMS,FullControl
bench,AIMS,FullControl
kmriosa,AIMS,"Modify, Synchronize"
laguidote,AIMS,"Modify, Synchronize"
sngranado,AIMS,FullControl
qlik,AIMS,FullControl
alvelasco,AIMS,"Modify, Synchronize"
Administrators,AIMS,FullControl
SYSTEM,Asset Plan Calendar,FullControl
bench,Asset Plan Calendar,FullControl
kmriosa,Asset Plan Calendar,"Modify, Synchronize"
laguidote,Asset Plan Calendar,"Modify, Synchronize"
sngranado,Asset Plan Calendar,FullControl
qlik,Asset Plan Calendar,FullControl
alvelasco,Asset Plan Calendar,"Modify, Synchronize"
Administrators,Asset Plan Calendar,FullControl
SYSTEM,B2B CPC Projects,FullControl
bench,B2B CPC Projects,FullControl
kmriosa,B2B CPC Projects,"Modify, Synchronize"
laguidote,B2B CPC Projects,"Modify, Synchronize"
sngranado,B2B CPC Projects,FullControl
qlik,B2B CPC Projects,FullControl
alvelasco,B2B CPC Projects,"Modify, Synchronize"
Administrators,B2B CPC Projects,FullControl
gamadlangbayan,CAPEX and OPEX,"ReadAndExecute, Synchronize"
edmarasigan,CAPEX and OPEX,"ReadAndExecute, Synchronize"
SYSTEM,CAPEX and OPEX,FullControl
bench,CAPEX and OPEX,FullControl
kmriosa,CAPEX and OPEX,"Modify, Synchronize"
laguidote,CAPEX and OPEX,"Modify, Synchronize"
sngranado,CAPEX and OPEX,FullControl
qlik,CAPEX and OPEX,FullControl
alvelasco,CAPEX and OPEX,"Modify, Synchronize"
Administrators,CAPEX and OPEX,FullControl
rmpongcol,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
edflorindo,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
rbestero,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
calucena,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
pdalera,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
gebautista,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
pctomboc,Coal Handling SCPC and SLPGC,FullControl
fffajarillo,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
jgandal,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
cgbalani,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
blacuzar,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
kcbalagot,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
dvsanchez,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
bpmenor,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
vdlainez,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
jdlugatic,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
bpsinag,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
aaortazon,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
rmdeguzman,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
rlmatias,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
edmarasigan,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
jbvalencia,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
lcvillalobos,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
absalvallon,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
mplandicho,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
SYSTEM,Coal Handling SCPC and SLPGC,FullControl
bench,Coal Handling SCPC and SLPGC,FullControl
kmriosa,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
laguidote,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
sngranado,Coal Handling SCPC and SLPGC,FullControl
qlik,Coal Handling SCPC and SLPGC,FullControl
alvelasco,Coal Handling SCPC and SLPGC,"Modify, Synchronize"
Administrators,Coal Handling SCPC and SLPGC,FullControl
SYSTEM,Compliance Reminder,FullControl
bench,Compliance Reminder,FullControl
kmriosa,Compliance Reminder,"Modify, Synchronize"
laguidote,Compliance Reminder,"Modify, Synchronize"
sngranado,Compliance Reminder,FullControl
qlik,Compliance Reminder,FullControl
alvelasco,Compliance Reminder,"Modify, Synchronize"
Administrators,Compliance Reminder,FullControl
SYSTEM,Contractor DB,FullControl
bench,Contractor DB,FullControl
kmriosa,Contractor DB,"Modify, Synchronize"
laguidote,Contractor DB,"Modify, Synchronize"
sngranado,Contractor DB,FullControl
qlik,Contractor DB,FullControl
alvelasco,Contractor DB,"Modify, Synchronize"
Administrators,Contractor DB,FullControl
SYSTEM,CPAR,FullControl
bench,CPAR,FullControl
kmriosa,CPAR,"Modify, Synchronize"
laguidote,CPAR,"Modify, Synchronize"
sngranado,CPAR,FullControl
qlik,CPAR,FullControl
alvelasco,CPAR,"Modify, Synchronize"
Administrators,CPAR,FullControl
adraymundo,CPC Budget,"Modify, Synchronize"
mhlagda,CPC Budget,"Modify, Synchronize"
SYSTEM,CPC Budget,FullControl
bench,CPC Budget,FullControl
kmriosa,CPC Budget,"Modify, Synchronize"
laguidote,CPC Budget,"Modify, Synchronize"
sngranado,CPC Budget,FullControl
qlik,CPC Budget,FullControl
alvelasco,CPC Budget,"Modify, Synchronize"
Administrators,CPC Budget,FullControl
SYSTEM,CPC Common,FullControl
bench,CPC Common,FullControl
kmriosa,CPC Common,"Modify, Synchronize"
laguidote,CPC Common,"Modify, Synchronize"
sngranado,CPC Common,FullControl
qlik,CPC Common,FullControl
alvelasco,CPC Common,"Modify, Synchronize"
Administrators,CPC Common,FullControl
,CPC Plan and Performance Files,"Modify, Synchronize"
Domain,CPC Plan and Performance Files,FullControl
SYSTEM,CPC Plan and Performance Files,FullControl
bench,CPC Plan and Performance Files,FullControl
kmriosa,CPC Plan and Performance Files,"Modify, Synchronize"
laguidote,CPC Plan and Performance Files,"Modify, Synchronize"
sngranado,CPC Plan and Performance Files,FullControl
qlik,CPC Plan and Performance Files,FullControl
alvelasco,CPC Plan and Performance Files,"Modify, Synchronize"
Administrators,CPC Plan and Performance Files,FullControl
SYSTEM,CPC_QlikUser11,FullControl
bench,CPC_QlikUser11,FullControl
kmriosa,CPC_QlikUser11,"Modify, Synchronize"
laguidote,CPC_QlikUser11,"Modify, Synchronize"
sngranado,CPC_QlikUser11,FullControl
qlik,CPC_QlikUser11,FullControl
alvelasco,CPC_QlikUser11,"Modify, Synchronize"
Administrators,CPC_QlikUser11,FullControl
SYSTEM,DG_QlikUser02,FullControl
bench,DG_QlikUser02,FullControl
kmriosa,DG_QlikUser02,"Modify, Synchronize"
laguidote,DG_QlikUser02,"Modify, Synchronize"
sngranado,DG_QlikUser02,FullControl
qlik,DG_QlikUser02,FullControl
alvelasco,DG_QlikUser02,"Modify, Synchronize"
Administrators,DG_QlikUser02,FullControl
sngranado,Finance CPC,"Modify, Synchronize"
